url,venue,description,name
/wiki/WrestleMania_2,Nassau Veterans Memorial Coliseum,,WrestleMania 2
"/wiki/Rosemont,_Illinois","The Dream Team,Greg Valentine,Brutus Beefcake,The British Bulldogs,Davey Boy Smith,Dynamite Kid",,"Rosemont, IL"
/wiki/Los_Angeles,King Kong Bundy,,"Los Angeles, CA"
/wiki/Royal_Rumble_(1989),The Summit,,Royal Rumble
/wiki/WrestleMania_V,Atlantic City Convention Hall,,WrestleMania V
/wiki/No_Holds_Barred_(1989_film)#The_match,Nashville Municipal Auditorium,,"No Holds Barred:,
The Match/The Movie"
/wiki/Royal_Rumble_(1990),Orlando Arena,,Royal Rumble
/wiki/WrestleMania_VI,SkyDome,,WrestleMania VI
/wiki/SummerSlam_(1990),Spectrum,,SummerSlam
/wiki/Royal_Rumble_(1991),Miami Arena,,Royal Rumble
/wiki/This_Tuesday_in_Texas,Freeman Coliseum,,This Tuesday in Texas
/wiki/Royal_Rumble_(1992),Knickerbocker Arena,,Royal Rumble
/wiki/Survivor_Series_(1992),Richfield Coliseum,,Survivor Series
/wiki/Royal_Rumble_(1993),ARCO Arena,,Royal Rumble
/wiki/King_of_the_Ring_(1993),Nutter Center,,King of the Ring
/wiki/Royal_Rumble_(1994),Providence Civic Center,,Royal Rumble
/wiki/WrestleMania_X,Madison Square Garden,,WrestleMania X
/wiki/Survivor_Series_(1994),Freeman Coliseum,,Survivor Series
/wiki/Royal_Rumble_(1995),USF Sun Dome,,Royal Rumble
/wiki/In_Your_House_2:_The_Lumberjacks,Nashville Municipal Auditorium,,In Your House 2
/wiki/In_Your_House_4,Winnipeg Arena,,In Your House 4
/wiki/Survivor_Series_(1995),USAir Arena,,Survivor Series
/wiki/In_Your_House_5,Hersheypark Arena,,In Your House 5
/wiki/Royal_Rumble_(1996),Selland Arena,,Royal Rumble
/wiki/In_Your_House_6,Louisville Gardens,,In Your House 6
/wiki/WrestleMania_XII,Arrowhead Pond,,WrestleMania XII
"/wiki/In_Your_House_7:_Good_Friends,_Better_Enemies",Omaha Civic Auditorium,,"In Your House 7: Good Friends, Better Enemies"
/wiki/In_Your_House_8:_Beware_of_Dog,Florence Civic Center,,In Your House 8: Beware of Dog
/wiki/North_Charleston_Coliseum,"North Charleston, SC",,North Charleston Coliseum
/wiki/King_of_the_Ring_(1996),MECCA Arena,,King of the Ring
/wiki/SummerSlam_(1996),Gund Arena,,SummerSlam
/wiki/In_Your_House_11:_Buried_Alive,Market Square Arena,,In Your House 11: Buried Alive
/wiki/Survivor_Series_(1996),Madison Square Garden,,Survivor Series
/wiki/In_Your_House_12:_It%27s_Time,West Palm Beach Auditorium,,In Your House 12: It's Time
/wiki/Royal_Rumble_(1997),Alamodome,,Royal Rumble
